seed,gen,best,champChanged,champAge,sigma,baseline
0,14,0.9666,0,6,0.1775,
0,14,0.9457,0,14,0.1775,
0,14,1.0122,0,14,0.1775,
0,15,0.5216,0,8,0.1773,0.6667
0,15,0.9243,0,15,0.1773,0.9653
0,15,1.0139,0,7,0.1773,0.9028
0,15,0.9601,0,15,0.1773,0.9722
0,15,1.0365,0,15,0.1773,1.0000
0,16,0.4724,0,9,0.1771,
0,16,0.9005,0,16,0.1771,
0,16,1.0133,0,8,0.1771,
0,16,0.9582,0,16,0.1771,
0,16,1.0140,0,16,0.1771,
0,17,0.4908,0,10,0.1770,
0,17,1.0368,1,0,0.1770,
0,17,0.9904,0,9,0.1770,
0,17,1.0043,0,17,0.1770,
0,17,1.0541,0,17,0.1770,
0,18,0.6195,0,11,0.1768,
0,18,0.9228,0,1,0.1768,
0,18,1.0343,0,10,0.1768,
0,18,0.9671,0,18,0.1768,
0,18,1.0584,0,18,0.1768,
0,19,0.5526,0,12,0.1766,
0,19,0.9240,0,2,0.1766,
0,19,0.9907,0,11,0.1766,
0,19,0.9624,0,19,0.1766,
0,19,1.0744,0,19,0.1766,
0,20,0.5986,0,13,0.1764,0.7361
0,20,0.9423,0,3,0.1764,0.9028
0,20,0.9816,0,12,0.1764,0.9861
0,20,0.9787,0,20,0.1764,0.9861
0,20,1.0744,0,20,0.1764,1.0000
0,21,0.6417,0,14,0.1763,
0,21,0.9192,0,4,0.1763,
0,21,0.9598,0,13,0.1763,
0,21,0.9771,0,21,0.1763,
0,21,1.0752,0,21,0.1763,
0,22,0.6055,0,15,0.1761,
0,22,0.9319,0,5,0.1761,
0,22,0.9089,0,14,0.1761,
0,22,1.0065,0,22,0.1761,
0,22,1.0588,0,22,0.1761,
0,23,0.5814,0,16,0.1759,
0,23,0.9496,0,6,0.1759,
0,23,0.9689,0,15,0.1759,
0,23,0.9581,0,23,0.1759,
0,23,1.0759,0,23,0.1759,
0,24,0.6677,1,0,0.1757,
0,24,0.9312,0,7,0.1757,
0,24,0.9206,0,16,0.1757,
0,24,0.9556,0,24,0.1757,
0,24,1.0749,0,24,0.1757,
0,25,0.5460,0,1,0.1756,0.6806
0,25,0.9394,0,8,0.1756,0.9514
0,25,0.9478,0,17,0.1756,0.9722
0,25,0.9435,0,25,0.1756,0.9583
0,25,1.0478,0,25,0.1756,0.9861
0,26,0.5642,0,2,0.1754,
0,26,0.8860,0,9,0.1754,
0,26,0.9506,0,18,0.1754,
0,26,0.9677,0,26,0.1754,
0,26,1.0571,0,26,0.1754,
0,27,0.5963,0,3,0.1752,
0,27,0.9063,0,10,0.1752,
0,27,0.9515,0,19,0.1752,
0,27,0.9396,0,27,0.1752,
0,27,1.0213,0,27,0.1752,
0,28,0.6247,0,4,0.1750,
0,28,0.8840,0,11,0.1750,
0,28,0.9845,0,20,0.1750,
0,28,0.9598,0,28,0.1750,
0,28,1.0580,0,28,0.1750,
0,29,0.6780,1,0,0.1749,
0,29,0.9173,0,12,0.1749,
0,29,0.9910,0,21,0.1749,
0,29,0.9228,0,29,0.1749,
0,29,1.0581,0,29,0.1749,
0,30,0.6311,0,1,0.1747,0.6319
0,30,0.9364,0,13,0.1747,0.9514
0,30,1.0259,0,22,0.1747,0.9722
0,30,0.9365,0,30,0.1747,0.9583
0,30,1.0175,0,30,0.1747,0.9722
0,31,0.6309,0,2,0.1745,
0,31,0.9328,0,14,0.1745,
0,31,1.0226,0,23,0.1745,
0,31,0.9464,0,31,0.1745,
0,31,1.0543,0,31,0.1745,
0,32,0.7173,1,0,0.1743,
0,32,0.9273,0,15,0.1743,
0,32,1.0257,0,24,0.1743,
0,32,0.9406,0,32,0.1743,
0,32,1.0727,0,32,0.1743,
0,33,0.7781,1,0,0.1742,
0,33,0.9618,0,16,0.1742,
0,33,1.0375,0,25,0.1742,
0,33,0.9090,0,33,0.1742,
0,33,1.0579,0,33,0.1742,
0,34,0.6760,0,1,0.1740,
0,34,0.7880,0,17,0.1740,
0,34,1.0422,0,26,0.1740,
0,34,0.9598,0,34,0.1740,
0,34,1.0753,0,34,0.1740,
0,35,0.7749,0,2,0.1738,0.8194
0,35,0.9574,0,18,0.1738,0.9514
0,35,1.0606,1,0,0.1738,0.9722
0,35,1.0392,0,35,0.1738,0.9722
0,35,1.0751,0,35,0.1738,0.9861
0,36,0.7038,0,3,0.1736,
0,36,0.9534,0,19,0.1736,
0,36,1.0024,0,1,0.1736,
0,36,0.9605,0,36,0.1736,
0,36,1.0414,0,36,0.1736,
0,37,0.7764,0,4,0.1735,
0,37,0.9716,0,20,0.1735,
0,37,1.0477,0,2,0.1735,
0,37,0.9672,0,37,0.1735,
0,37,1.0585,0,37,0.1735,
0,38,0.6564,0,5,0.1733,
0,38,0.9024,0,21,0.1733,
0,38,0.9814,0,3,0.1733,
0,38,0.9873,0,38,0.1733,
0,38,1.0250,0,38,0.1733,
0,39,0.7083,0,6,0.1731,
0,39,0.9165,0,22,0.1731,
0,39,0.9943,0,4,0.1731,
